Título,Nota,URL,Comentar
Oca Toca by Toca da Coruja,,https://www.google.com/maps/place/Oca+Toca+by+Toca+da+Coruja/data=!4m2!3m1!1s0x7b29ad52d1affcf:0xca3c4f2b55f56edc,
Camarão na Fazenda,,https://www.google.com/maps/place/Camar%C3%A3o+na+Fazenda/data=!4m2!3m1!1s0x7b28fe8abc2e747:0x6e687a92b3a72e5a,
Praia de Tourinhos,,https://www.google.com/maps/place/Praia+de+Tourinhos/data=!4m2!3m1!1s0x7b40f69268ec9d5:0x9454bd896d7916ec,
Lagoa do Cardeiro,,https://www.google.com/maps/place/Lagoa+do+Cardeiro/data=!4m2!3m1!1s0x7b40c47ba298ae1:0xdd483bc60145a10f,
Ponta Do Santo Cristo,,https://www.google.com/maps/place/Ponta+Do+Santo+Cristo/data=!4m2!3m1!1s0x7b40c5254cca2a5:0x7afaf679d885f471,
Mi Secreto Pousada & Spa,,https://www.google.com/maps/place/Mi+Secreto+Pousada+%26+Spa/data=!4m2!3m1!1s0x7b40c4fdece05ed:0xffd4a54af503181d,
Genipabu,,https://www.google.com/maps/place/Genipabu/data=!4m2!3m1!1s0x7b30784eeebba43:0x8265926b0427f05d,
Praia das Minas,,https://www.google.com/maps/place/Praia+das+Minas/data=!4m2!3m1!1s0x7b29aaa91470375:0xfeabd2f64bc57e83,
SERHS Natal,,https://www.google.com/maps/place/SERHS+Natal/data=!4m2!3m1!1s0x7b2ff1a08c23595:0x8a9e43d5761237ad,
Craft Center,,https://www.google.com/maps/place/Craft+Center/data=!4m2!3m1!1s0x7b2f92a0ba8e9fd:0x316a67af15919772,
Praia de Alagamar,,https://www.google.com/maps/place/Praia+de+Alagamar/data=!4m2!3m1!1s0x7b2f93144ed2aeb:0x9259c565b1906858,
Ponta Negra,,https://www.google.com/maps/place/Ponta+Negra/data=!4m2!3m1!1s0x7b2ff2ae2c55695:0x3ba594c57ef58fc1,
Praia Baía dos Golfinhos Pipa,,https://www.google.com/maps/place/Praia+Ba%C3%ADa+dos+Golfinhos+Pipa/data=!4m2!3m1!1s0x7b28f9520b0c4dd:0x9e92d7c980d1edbf,
Centro de Pipa,,https://www.google.com/maps/place/Centro+de+Pipa/data=!4m2!3m1!1s0x7b28fe1885b9d25:0xc39536c90988216a,
Pipa Chapadao,,https://www.google.com/maps/place/Pipa+Chapadao/data=!4m2!3m1!1s0x7b29002c0809f8f:0xf6cb7a391f0e06be,
Love Beach,,https://www.google.com/maps/place/Love+Beach/data=!4m2!3m1!1s0x7b28fe2b876a3c1:0x7bde19080a1d459,
