Título,Nota,URL,Comentar
Restaurante Cepa,,https://www.google.com/maps/place/Restaurante+Cepa/data=!4m2!3m1!1s0x94ce5f2a9dc734f3:0x4332e68ccb6312d0,
Lobozó Restaurante,,https://www.google.com/maps/place/Loboz%C3%B3+Restaurante/data=!4m2!3m1!1s0x94ce571b3a3a6517:0x502d9102b836cb79,
Plou Vinhos,,https://www.google.com/maps/place/Plou+Vinhos/data=!4m2!3m1!1s0x94ce570025cdfc2d:0x478eb30e4bd31750,
La Boutique del Tartufo,,https://www.google.com/maps/place/La+Boutique+del+Tartufo/data=!4m2!3m1!1s0x4786c70fa322debf:0xb43dde5cdff17d98,
Salsamenteria di Parma,,https://www.google.com/maps/place/Salsamenteria+di+Parma/data=!4m2!3m1!1s0x4786c14d3212523f:0xfec68aa43edb8268,
Ristorante Nabucco,,https://www.google.com/maps/place/Ristorante+Nabucco/data=!4m2!3m1!1s0x4786c6b35723ec31:0x591c892508fc70b8,
Urban Outfitters,,https://www.google.com/maps/place/Urban+Outfitters/data=!4m2!3m1!1s0x4786c6a540e826c7:0xa6a35b388697e1d0,
DMAG outlet,,https://www.google.com/maps/place/DMAG+outlet/data=!4m2!3m1!1s0x4786c6b04fd365d9:0x9bddc6dbba8c452c,
Enjoy Milano Skyline,,https://www.google.com/maps/place/Enjoy+Milano+Skyline/data=!4m2!3m1!1s0x4786c6d131e32555:0xfe28988045e8d7e6,
Sapori & Dintorni CONAD,,https://www.google.com/maps/place/Sapori+%26+Dintorni+CONAD/data=!4m2!3m1!1s0x4786c6dacf63d70f:0xbc2bae9e319da692,
SAPORI & DINTORNI STORE,,https://www.google.com/maps/place/SAPORI+%26+DINTORNI+STORE/data=!4m2!3m1!1s0x4786c15a81c7d0eb:0xa64f0ed3dc1bf362,
All'Antico Vinaio - Milano,,https://www.google.com/maps/place/All'Antico+Vinaio+-+Milano/data=!4m2!3m1!1s0x4786c7912565cdf7:0x3a14ed6389b46858,
Van Bol & Feste,,https://www.google.com/maps/place/Van+Bol+%26+Feste/data=!4m2!3m1!1s0x4786c15279485dc9:0xd00ba5d772981916,
Dr. Martens,,https://www.google.com/maps/place/Dr.+Martens/data=!4m2!3m1!1s0x4786c709f0c8044f:0x5e6ad653db8a847,
SAPORI & DINTORNI STORE,,https://www.google.com/maps/place/SAPORI+%26+DINTORNI+STORE/data=!4m2!3m1!1s0x133b085515daa667:0xfb8fea2f759fb01b,
London Outlet Store,,https://www.google.com/maps/place/London+Outlet+Store/data=!4m2!3m1!1s0x133b09ffe9cb9051:0xe7c37f33ab24af7,
Pastasciutta,,https://www.google.com/maps/place/Pastasciutta/data=!4m2!3m1!1s0x132f6066dfe771bd:0xe135a540a2bff19b,
"Via del Caravita, 9",,"https://www.google.com/maps/place/Via+del+Caravita,+9/data=!4m2!3m1!1s0x132f60526ef7efbd:0x9ed777edca0e702d",
"Via delle Muratte, 8",,"https://www.google.com/maps/place/Via+delle+Muratte,+8/data=!4m2!3m1!1s0x132f6053278bcf3d:0xfea6bfda1052fb46",
al42 by Pasta Chef rione Monti,,https://www.google.com/maps/place/al42+by+Pasta+Chef+rione+Monti/data=!4m2!3m1!1s0x132f61b17e6e8489:0x33db5bf87e8493b6,
Pastificio Guerra,,https://www.google.com/maps/place/Pastificio+Guerra/data=!4m2!3m1!1s0x132f6055a635390d:0x2d2146d97c445da0,
"Via Marsala, 53",,"https://www.google.com/maps/place/Via+Marsala,+53/data=!4m2!3m1!1s0x132f61a220c8ea31:0x3bc65bee929fb4ca",
Società Agricola Casanuova Delle Cerbaie Srl - Brunello di Montalcino,,https://www.google.com/maps/place/Societ%C3%A0+Agricola+Casanuova+Delle+Cerbaie+Srl+-+Brunello+di+Montalcino/data=!4m2!3m1!1s0x13297079e51c8f55:0x31336ecce5f932ed,
Osteria il Vinaio,,https://www.google.com/maps/place/Osteria+il+Vinaio/data=!4m2!3m1!1s0x132a2cc6d3403a9f:0x3a682e54c8ede929,
Gino Cacino di Angelo,,https://www.google.com/maps/place/Gino+Cacino+di+Angelo/data=!4m2!3m1!1s0x132a2cb0b0f17dab:0x352ae9407bdcfa96,
Osteria degli Svitati,,https://www.google.com/maps/place/Osteria+degli+Svitati/data=!4m2!3m1!1s0x132a2de3f8f7d5af:0xe4a73dfddad9aea6,
Osteria Il Grattacielo dal 1840,,https://www.google.com/maps/place/Osteria+Il+Grattacielo+dal+1840/data=!4m2!3m1!1s0x132a2cb9d00eb1d1:0x3127c0b36fa0e06c,
Fischi per Fiaschi,,https://www.google.com/maps/place/Fischi+per+Fiaschi/data=!4m2!3m1!1s0x132a2ca4c43aa9dd:0x2dd9a17227fc3d02,
Osteria Da Trombicche,,https://www.google.com/maps/place/Osteria+Da+Trombicche/data=!4m2!3m1!1s0x132a2cb9c737635d:0x5e93a2772574d07c,
Agriturismo Castel di Pugna,,https://www.google.com/maps/place/Agriturismo+Castel+di+Pugna/data=!4m2!3m1!1s0x132bd3f8d5e2dce1:0xb42d156d3abf21b7,
La Ménagère,,https://www.google.com/maps/place/La+M%C3%A9nag%C3%A8re/data=!4m2!3m1!1s0x132a5402fd86b49f:0x71968d7af706f562,
Trattoria Marione,,https://www.google.com/maps/place/Trattoria+Marione/data=!4m2!3m1!1s0x132a56aa338231e3:0x1172d42781e95c4e,
Trattoria Zà Zà,,https://www.google.com/maps/place/Trattoria+Z%C3%A0+Z%C3%A0/data=!4m2!3m1!1s0x132a5402d00127a1:0x7dce7c39fd84cb3b,
Ristorante Buca Niccolini,,https://www.google.com/maps/place/Ristorante+Buca+Niccolini/data=!4m2!3m1!1s0x132a5403b85667f1:0x3b25b3c09ac8dabb,
"Viale delle Provincie, 23",,"https://www.google.com/maps/place/Viale+delle+Provincie,+23/data=!4m2!3m1!1s0x132f617ae10dadcd:0x775857f1fa6c39ec",
